name,rmr_seed,flag
Natus Vincere,1,eu
fnatic,9,eu
Vitality,2,eu
GamerLegion,10,eu
MOUZ,3,eu
Nemiga,11,russia
FaZe,4,eu
Cloud9,12,russia
SAW,5,portugal
SINNERS,13,czech_republic
Falcons,6,denmark
ECLOT,14,czech_republic
Sangal,7,eu
Rebels,15,poland
BetBoom,8,russia
UNiTY,16,czech_republic
